Operating Cash Flow,80.008.000,80.674.000,69.391.000,77.434.000
Investing Cash Flow,-10.618.000,-4.289.000,45.896.000,16.066.000
Financing Cash Flow,-86.502.000,-86.820.000,-90.976.000,-87.876.000
End Cash Position,35.039.000,39.789.000,50.224.000,25.913.000
Income Tax Paid Supplemental Data,11.878.000,9.501.000,15.263.000,10.417.000
Interest Paid Supplemental Data,3.135.000,3.002.000,3.423.000,3.022.000
Capital Expenditure,-8.302.000,-7.309.000,-10.495.000,-13.313.000
Issuance of Capital Stock,820.000,880.000,781.000,669.000
Issuance of Debt,22.794.000,16.091.000,6.963.000,6.969.000
Repayment of Debt,-13.908.000,-12.629.000,-8.805.000,-6.500.000
Repurchase of Capital Stock,-72.615.000,-72.358.000,-66.897.000,-72.738.000
Free Cash Flow,71.706.000,73.365.000,58.896.000,64.121.000
